taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	species	genus	family	order	class	phylum	superkingdom	source
62609	9.999999999999998	1.7320508075688774	22.20159537874779	54.41398092702652	12.5	2.0	37.17551306747922	78.53981633974483	rod	['5.0', ' 20.0']	['1.0', ' 3.0']	Thermocladium modestius	Thermocladium	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	bm1
62970	1.7320508075688774	1.7320508075688774	2.720699046351327	9.424777960769381	1.85	1.85	3.31523109754758	10.752100856911069	spherical	['1.2', ' 2.5']	['1.2', ' 2.5']	Methanogenium frigidum	Methanogenium	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
66851	0.916515138991168	0.447213595499958	0.12054981227445488	1.2876698099213992	0.95	0.45	0.1272345024703866	1.3430308594096363	rod	['0.7', ' 1.2']	['0.4', ' 0.5']	Methanobrevibacter oralis	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
67760	1.3	1.3	1.1503465099894628	5.309291584566751	1.3	1.3	1.1503465099894628	5.309291584566751	spherical	['1.3', ' 1.3']	['1.3', ' 1.3']	Methanocaldococcus infernus	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
69656	1.3416407864998738	1.3416407864998738	1.2644666515873306	5.6548667764616285	1.35	1.35	1.288249337512665	5.725552611167398	spherical	['1.2', ' 1.5']	['1.2', ' 1.5']	Sulfurisphaera ohwakuensis	Sulfurisphaera	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	bm1
70771	10.000000000000002	0.4	1.239881900616772	12.566370614359172	50.5	0.4	6.329261999432237	63.460171602513824	rod	['1.0', ' 100.0']	['0.4', ' 0.4']	Pyrobaculum neutrophilum	Pyrobaculum	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	bm1
71152	0.8944271909999159	0.8944271909999159	0.3746567856555053	2.5132741228718345	0.9	0.9	0.3817035074111599	2.5446900494077327	spherical	['0.8', ' 1.0']	['0.8', ' 1.0']	Methanocalculus halotolerans	Methanocalculus	Methanocalculaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
71518	0.2	0.2	0.004188790204786301	0.12566370614359174	0.2	0.2	0.0041887902047863	0.1256637061435917	spherical	['0.2', ' 0.2']	['0.2', ' 0.2']	Methanocorpusculum bavaricum	Methanocorpusculum	Methanocorpusculaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
72612	1.5811388300841898	1.5811388300841898	2.0697058887075217	7.8539816339744855	1.625	1.625	2.246770527323169	8.295768100885548	spherical	['1.25', ' 2.0']	['1.25', ' 2.0']	Methanoculleus palmolei	Methanoculleus	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
73913	1.3	1.3	1.1503465099894628	5.309291584566751	1.3	1.3	1.1503465099894628	5.309291584566751	spherical	['1.3', ' 1.3']	['1.3', ' 1.3']	Methanocaldococcus vulcanius	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
76887	7.745966692414833	0.529150262212918	1.6646383037926078	12.876698099213986	11.5	0.55	2.68864698777379	19.870573533955444	rod	['3.0', ' 20.0']	['0.4', ' 0.7']	Caldivirga maquilingensis	Caldivirga	Thermoproteaceae	Thermoproteales	Thermoprotei	Crenarchaeota	Archaea	bm1
81417	2.121320343559643	2.121320343559643	4.998243305428163	14.137166941154074	2.25	2.25	5.964117303299373	15.904312808798329	spherical	['1.5', ' 3.0']	['1.5', ' 3.0']	Methanofollis tationis	Methanofollis	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
83171	1.2	1.2	0.9047786842338604	4.523893421169302	1.2	1.2	0.9047786842338604	4.523893421169302	spherical	['1.2', ' 1.2']	['1.2', ' 1.2']	Methanocaldococcus fervens	Methanocaldococcus	Methanocaldococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
83565	5.196152422706632	0.8	2.4778297979441093	13.059355422486366	6.0	0.8	2.881887660893037	15.079644737231009	rod	['3.0', ' 9.0']	['0.8', ' 0.8']	Methanobacterium espanolae	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
83816	1.1661903789690602	0.7	0.3590054630737879	2.5645865890794077	1.25	0.7	0.3912591850658287	2.748893571891069	rod	['0.8', ' 1.7']	['0.7', ' 0.7']	Methanobrevibacter ruminantium	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
83983	2.68700576850888	0.3464101615137754	0.2423615312896215	2.9242136127690492	2.85	0.4	0.3413864016900908	3.581415625092364	rod	['1.9', ' 3.8']	['0.2', ' 0.6']	Methanobacterium uliginosum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
83984	0.8944271909999159	0.8944271909999159	0.3746567856555053	2.5132741228718345	1.2	1.2	0.9047786842338604	4.523893421169302	spherical	['0.4', ' 2.0']	['0.4', ' 2.0']	Methanocorpusculum labreanum	Methanocorpusculum	Methanocorpusculaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
