taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom
29299	1.3856406460551018	0.5291502622129179	0.2659295530750401	2.303453782046785	rods	Nocardioides plantarum	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
29311	2.1166010488516718	0.5291502622129179	0.426676141279392	3.518583772020568	rods	Mycobacterium haemophilum	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
29313	3.872983346207418	0.6	1.038511574748259	7.300401616752501	rods	Mycobacterium shimoidei	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
29314	1.3416407864998738	0.9	0.6626632361158683	3.793399954761991	rods	Mycolicibacter hiberniae	Mycolicibacter	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
29405	1.2649110640673518	1.2649110640673518	1.0596894150182508	5.02654824574367	coccus	Microlunatus phosphovorus	Microlunatus	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
33883	2.5	0.5	0.4581489286485115	3.9269908169872414	rods	Microbacterium arborescens	Microbacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
33895	1.1832159566199232	0.7745966692414834	0.4359040232598972	2.8793172275584817	rods	Mycobacterium interjectum	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
33984	0.8366600265340756	0.8366600265340756	0.3066519158396975	2.1991148575128547	coccus	Luteococcus japonicus	Luteococcus	Propionibacteriaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
35751	15.811388300841893	0.7745966692414834	7.3292678390678665	38.476494904855926	hyphae	Sporichthya polymorpha	Sporichthya	Sporichthyaceae	Sporichthyales	Actinomycetia	Actinobacteria	Bacteria
35756	1.3	0.5	0.22252947962927702	2.042035224833365	rods	Corynebacterium pilosum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
35760	10.95445115010332	10.95445115010332	688.2884651454568	376.9911184307754	coccus	Bifidobacterium choerinum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinomycetia	Actinobacteria	Bacteria
36808	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	rods	Corynebacterium bovis	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
36809	1.5811388300841898	0.5	0.27773095983123447	2.4836470664490253	rods	Mycobacteroides abscessus	Mycobacteroides	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
36812	2.0	1.0	1.3089969389957472	6.283185307179585	coccus-bacilli	Mycobacterium genavense	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
36813	2.0	0.5	0.3599741582238304	3.1415926535897927	rods	Mycolicibacterium pulveris	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
37633	1.224744871391589	1.224744871391589	0.9619123726213976	4.712388980384689	sphere	Kineococcus aurantiacus	Kineococcus	Kineosporiaceae	Kineosporiales	Actinomycetia	Actinobacteria	Bacteria
37637	1.0	0.3872983346207417	0.1026005544747162	1.2167336027920836	rods	Corynebacterium pseudodiphtheriticum	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
37921	0.9797958971132712	0.9797958971132712	0.4924991347821557	3.0159289474462017	sphere	Arthrobacter agilis	Arthrobacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
37922	1.0954451150103324	1.0954451150103324	0.6882884651454575	3.769911184307753	coccus	Nesterenkonia halobia	Nesterenkonia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
37923	0.8774964387392122	0.8774964387392122	0.3537811669051037	2.4190263432641412	sphere	Rothia kristinae	Rothia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
37930	1.2649110640673518	0.6928203230275509	0.3897978672749704	2.7531538605818278	rods	Glutamicibacter protophormiae	Glutamicibacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
38284	1.4142135623730951	0.7348469228349535	0.4959026604082686	3.2648388556215924	rods	Corynebacterium accolens	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
38289	2.0	0.5	0.3599741582238304	3.1415926535897927	rods	Corynebacterium jeikeium	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
38302	1.7320508075688772	0.3872983346207417	0.18884325844144847	2.107444419312218	rods	Corynebacterium mycetoides	Corynebacterium	Corynebacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
38502	2.1213203435596424	1.3416407864998738	2.366712657463232	8.941129439216489	rods	Blastococcus aggregatus	Blastococcus	Geodermatophilaceae	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria
39487	0.6708203932499369	0.3	0.040348915963947865	0.6322333257936653	rods	Atopobium fossor	Atopobium	Atopobiaceae	Coriobacteriales	Coriobacteriia	Actinobacteria	Bacteria
39687	3.464101615137755	0.5	0.647449838112938	5.441398092702653	rods	Mycolicibacterium austroafricanum	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
39691	3.464101615137755	0.5	0.647449838112938	5.441398092702653	rods	Mycolicibacterium moriokaense	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
39693	3.0000000000000004	0.5	0.5563236990731926	4.712388980384691	rods	Mycobacterium porcinum	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
39694	2.32163735324878	1.3228756555322954	2.584892933986565	9.648577279230105	rods	Mycolicibacterium poriferae	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
41986	2.0493901531919194	0.4242640687119285	0.2697327340106021	2.7315601635738416	rods	Agromyces mediolanus	Agromyces	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
41988	1.3416407864998738	0.5916079783099616	0.314593861091114	2.4935618646198243	pleomorphic-rods	Cryobacterium psychrophilum	Cryobacterium	Microbacteriaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
42256	2.0	0.8944271909999159	1.0693086686081643	5.619851784832581	rods	Rubrobacter radiotolerans	Rubrobacter	Rubrobacteraceae	Rubrobacterales	Rubrobacteria	Actinobacteria	Bacteria
43304	2.449489742783178	0.5	0.4482312628358053	3.847649490485592	rods	Mycolicibacterium peregrinum	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
43666	1.3856406460551018	0.4898979485566356	0.2304059125258426	2.1325838103160155	rods	Paeniglutamicibacter sulfureus	Paeniglutamicibacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
43667	2.23606797749979	0.9797958971132712	1.4397059680586963	6.882884651454572	rods	Glutamicibacter uratoxydans	Glutamicibacter	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
