taxid	length	width	volume	surface	order	class	phylum	superkingdom
2024973	3.5999999999999996	0.6	0.9613273519984769	6.785840131753952	Silvanigrellales	Oligoflexia	Proteobacteria	Bacteria
2066484	2.1633307652783937	0.7416198487095663	0.8277062131244416	5.040273973545884	Iodidimonadales	Alphaproteobacteria	Proteobacteria	Bacteria
2066490	1.9078784028338915	0.4898979485566356	0.3288454105332501	2.9363389458289144	Emcibacterales	Alphaproteobacteria	Proteobacteria	Bacteria
2202723	0.4472135954999579	0.4472135954999579	0.04683209820693818	0.6283185307179586	Methanonatronarchaeales	Methanonatronarchaeia	Euryarchaeota	Archaea
2493627	1.5811388300841898	0.3872983346207417	0.1710643599487759	1.9238247452427963	Minwuiales	Alphaproteobacteria	Proteobacteria	Bacteria
2495578	1.3677823998673806	0.3080070288241023	0.09199367485261173	1.3235108658164738	Sporichthyales	Actinomycetia	Actinobacteria	Bacteria
2691354	1.2989225072281136	1.079017326437452	0.8422111678805302	4.403130257127662	Pirellulales	Planctomycetia	Planctomycetes	Bacteria
2691355	2.5068327016838	2.316885495922313	7.284867884362488	18.246509390165162	Gemmatales	Planctomycetia	Planctomycetes	Bacteria
2691356	2.230456721286719	2.230456721286719	5.810052072466123	15.629226114141469	Isosphaerales	Planctomycetia	Planctomycetes	Bacteria
2770089	4.863333211360944	0.7336661659827984	1.95173753883239	11.209400605973673	Thermosediminibacterales	Clostridia	Firmicutes	Bacteria
2793120	1.7596456157673	0.715526739664019	0.6068588811302484	3.955496027814474	Motilibacterales	Actinomycetia	Actinobacteria	Bacteria
2800059	1.9159321110862582	0.5006918419319606	0.33850622406482056	3.013703373204305	Maricaulales	Alphaproteobacteria	Proteobacteria	Bacteria
2800060	1.6049261846250231	0.5698375301958938	0.353761965871726	2.873134680665831	Hyphomonadales	Alphaproteobacteria	Proteobacteria	Bacteria
2805415	1.0969613104865237	0.5095338115302607	0.18864021305099124	1.7559582717789022	Jatrophihabitantales	Actinomycetia	Actinobacteria	Bacteria
2811503	3.350368958834508	0.34641016151377546	0.3043242053006995	3.6461382524904526	Thermodesulfovibrionales	Thermodesulfovibrionia	Nitrospirae	Bacteria
2887326	1.35278821195211	0.812428474546852	0.5485370486899579	3.4527474989785056	Moraxellales	Gammaproteobacteria	Proteobacteria	Bacteria
2887327	2.1750678103415413	0.47001421609850014	0.34541270423159876	3.211690356511523	Kangiellales	Gammaproteobacteria	Proteobacteria	Bacteria
